job,country,number_of_pages,unique_url
Data Analyst,Canada,4310,"https://www.glassdoor.com/Salaries/canada-data-analyst-salary-SRCH_IL.0,6_IN3_KO7,19_IP{}.htm"
Data Analyst,Sweden,380,"https://www.glassdoor.com/Salaries/sweden-data-analyst-salary-SRCH_IL.0,6_IN223_KO7,19_IP{}.htm"
Data Analyst,Denmark,260,"https://www.glassdoor.com/Salaries/denmark-data-analyst-salary-SRCH_IL.0,7_IN63_KO8,20_IP{}.htm"
Data Analyst,Netherlands,1580,"https://www.glassdoor.com/Salaries/netherlands-data-analyst-salary-SRCH_IL.0,11_IN178_KO12,24_IP{}.htm"
Data Analyst,Qatar,60,"https://www.glassdoor.com/Salaries/qatar-data-analyst-salary-SRCH_IL.0,5_IN199_KO6,18_IP{}.htm"
Data Analyst,Australia,2040,"https://www.glassdoor.com/Salaries/australia-data-analyst-salary-SRCH_IL.0,9_IN16_KO10,22_IP{}.htm"
Data Analyst,Finland,180,"https://www.glassdoor.com/Salaries/finland-data-analyst-salary-SRCH_IL.0,7_IN79_KO8,20_IP{}.htm"
Data Analyst,Norway,140,"https://www.glassdoor.com/Salaries/norway-data-analyst-salary-SRCH_IL.0,6_IN180_KO7,19_IP{}.htm"
Data Analyst,Luxembourg,120,"https://www.glassdoor.com/Salaries/luxembourg-data-analyst-salary-SRCH_IL.0,10_IN148_KO11,23_IP{}.htm"
Data Analyst,Belgium,456,"https://www.glassdoor.com/Salaries/belgium-data-analyst-salary-SRCH_IL.0,7_IN25_KO8,20_IP{}.htm"
Data Analyst,Saudi Arabia,180,"https://www.glassdoor.com/Salaries/saudi-arabia-data-analyst-salary-SRCH_IL.0,12_IN207_KO13,25_IP{}.htm"
Data Analyst,Austria,240,"https://www.glassdoor.com/Salaries/austria-data-analyst-salary-SRCH_IL.0,7_IN18_KO8,20_IP{}.htm"
Data Analyst,Italy,1480,"https://www.glassdoor.com/Salaries/italy-data-analyst-salary-SRCH_IL.0,5_IN120_KO6,18_IP{}.htm"
Data Analyst,New Zealand,300,"https://www.glassdoor.com/Salaries/new-zealand-data-analyst-salary-SRCH_IL.0,11_IN186_KO12,24_IP{}.htm"
